FID_fvcomGrid_XYTableToPoint,lat,lng,node,TP_2018ltJuly1
541,44.04004669,-76.26617432,541,5.909627438
542,44.04192734,-76.26425171,542,5.909627438
543,44.04388046,-76.26242065,543,5.909627438
544,44.03586578,-76.26657104,544,5.909627438
545,44.03162384,-76.26641846,545,5.983382702
546,44.03384781,-76.26498413,546,5.983382702
547,44.02981949,-76.26409912,547,5.983382702
548,44.02763367,-76.26373291,548,5.983382702
549,44.02524185,-76.26370239,549,5.983382702
550,44.02303696,-76.26394653,550,5.983382702
551,44.02092361,-76.2638855,551,5.983382702
552,44.01892853,-76.26361084,552,
553,43.35843277,-79.74343872,553,
554,43.35403824,-79.74563599,554,
555,43.35580826,-79.74307251,555,
556,43.33400345,-79.74761963,556,7.745527744
557,43.33669281,-79.74484253,557,7.745527744
558,43.33977127,-79.74612427,558,
559,43.34212875,-79.74810791,559,
560,43.34669113,-79.74786377,560,
561,43.34444427,-79.74636841,561,
562,43.35126114,-79.74490356,562,8.176963806
563,43.34857941,-79.74508667,563,
564,43.36003113,-79.74130249,564,
565,43.36149979,-79.73922729,565,
566,43.36313248,-79.73678589,566,
567,43.36481476,-79.73471069,567,
568,43.3306427,-79.74636841,568,7.745527744
569,43.24021149,-79.71966553,569,
570,43.24300766,-79.7244873,570,6.227129459
571,43.24480057,-79.73019409,571,6.227129459
572,43.24869537,-79.73065186,572,6.227129459
573,43.32707596,-79.74536133,573,7.745527744
574,43.32300186,-79.74511719,574,7.40721941
575,43.3184967,-79.74575806,575,7.40721941
576,43.31388474,-79.74682617,576,7.40721941
577,43.30757141,-79.75131226,577,6.600665092
578,43.31000137,-79.7479248,578,6.600665092
579,43.30312347,-79.74911499,579,6.600665092
580,43.29845047,-79.74703979,580,6.364324093
581,43.29356766,-79.74554443,581,6.364324093
582,43.28844452,-79.7444458,582,6.364324093
583,43.28342438,-79.74411011,583,6.070632935
584,43.27909088,-79.74533081,584,6.070632935
585,43.27532196,-79.74777222,585,6.070632935
586,43.27201843,-79.74362183,586,6.083310127
587,43.26467133,-79.74151611,587,6.083310127
588,43.26858139,-79.74020386,588,6.083310127
589,43.26148987,-79.73690796,589,6.013602257
590,43.25718689,-79.73324585,590,6.013602257
591,43.2529068,-79.73150635,591,6.013602257
592,44.06528473,-76.14660645,592,
593,44.06275558,-76.14596558,593,
594,44.06603622,-76.1489563,594,
595,44.06665421,-76.15130615,595,
596,44.05335236,-76.25738525,596,
597,44.05649948,-76.25701904,597,
598,44.0582962,-76.25515747,598,5.782413006
599,44.05986404,-76.25296021,599,5.782413006
600,44.05511475,-76.25509644,600,
601,44.06163406,-76.25119019,601,5.782413006
602,44.05163574,-76.25595093,602,
603,44.04986954,-76.25805664,603,
604,44.04797363,-76.259552,604,5.909627438
605,44.04593658,-76.26092529,605,5.909627438
606,44.03791809,-76.26470947,606,5.909627438
607,44.03988266,-76.26281738,607,5.909627438
608,44.04184723,-76.26089478,608,5.909627438
609,44.04389954,-76.25918579,609,5.909627438
610,44.03587341,-76.26312256,610,5.909627438
611,44.0320015,-76.26312256,611,5.983382702
612,44.03042984,-76.26177979,612,5.983382702
613,44.03381729,-76.26135254,613,5.983382702
614,44.02866364,-76.2605896,614,5.983382702
615,44.02617645,-76.26083374,615,5.983382702
616,44.0238266,-76.26092529,616,5.983382702
617,44.02160645,-76.26089478,617,5.983382702
618,44.0193634,-76.26055908,618,
619,43.35752487,-79.74050903,619,
620,43.35305023,-79.74255371,620,8.176963806
621,43.35487366,-79.73995972,621,
622,43.33333969,-79.74310303,622,7.745527744
623,43.33612442,-79.74087524,623,7.745527744
624,43.33938599,-79.74172974,624,7.745527744
625,43.34269714,-79.74307251,625,
626,43.34635162,-79.74316406,626,
627,43.3498764,-79.74230957,627,8.176963806
628,43.35923004,-79.73803711,628,
629,43.36094284,-79.73556519,629,
630,43.36266327,-79.73300171,630,
631,43.36606979,-79.73217773,631,
632,43.36445618,-79.73095703,632,
633,43.32991409,-79.74154663,633,7.745527744
634,43.23775482,-79.71459961,634,
635,43.23591232,-79.70895386,635,6.668992043
636,43.24219894,-79.71374512,636,6.668992043
637,43.24485397,-79.71899414,637,6.227129459
638,43.24716949,-79.72460938,638,6.227129459
639,43.2515831,-79.72503662,639,6.227129459
640,43.32568741,-79.74099731,640,7.656632423
641,43.32093811,-79.74133301,641,7.40721941
642,43.31583023,-79.74227905,642,7.40721941
643,43.3102684,-79.74282837,643,7.225376129
644,43.30617142,-79.74588013,644,6.600665092
645,43.30141068,-79.74353027,645,6.600665092
646,43.29636383,-79.7414856,646,6.364324093
647,43.29110718,-79.7401123,647,6.364324093
648,43.28562164,-79.73913574,648,6.275254726
649,43.28022766,-79.73880005,649,6.275254726
650,43.27575302,-79.74038696,650,6.070632935
651,43.271698,-79.73632813,651,6.083310127
652,43.26620865,-79.73422241,652,6.083310127
